,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
2408,heights_low_2.m4v,1,1,2,2238.164,2241.164,0.413,2.019,0.154,3.788,2255.717,2275.742,0.143,0.033,0.454,0.942,3.02,1.101,2.036,1.685,185,0.914,0,0.773,0.017,35,
2409,social_high_6.mov,2,2,2,2293.075,2296.075,0.415,24.594,0.046,1.619,2327.029,2347.569,0.489,0.744,0.571,0.331,8.009,1.118,1.869,1.468,185,0.931,0,0.773,0.017,36,
2410,heights_high_3.m4v,1,2,2,10.061,13.088,0.437,3.654,0.414,1.768,27.297,47.923,0.592,0.67,0.444,0.65,2.87,1.302,3.421,9.428,186,0.71,0.104,0.646,0.066,1,
2411,heights_high_1.m4v,1,2,1,74.449,77.45,0.453,5.206,0.477,1.569,92.97,113.379,0.583,0.588,0.427,0.651,3.07,1.418,1.936,1.151,186,0.703,0,0.646,0.066,2,
2412,social_high_6.mov,2,2,2,130.462,133.462,0.408,8.31,0.442,3.07,149.599,170.14,0.667,0.698,0.372,0.168,2.753,1.402,1.602,2.219,186,0.702,0,0.646,0.066,3,
2413,social_low_6.m4v,2,1,1,187.608,190.608,0.419,2.636,0.507,2.253,199.254,218.663,0.375,0.326,0.308,0.702,2.503,1.118,1.919,1.869,186,0.712,0,0.646,0.066,4,
2414,social_low_3.m4v,2,1,1,235.578,238.58,0.403,2.57,0.364,1.201,246.107,266.266,0.083,0.057,0.683,0.362,3.421,1.969,3.354,3.971,186,0.706,0.109,0.646,0.066,5,
2415,spider_high_1.mov,3,2,2,288.486,291.487,0.36,2.47,0.368,0.985,299.682,319.69,0.646,0.673,0.332,0.18,2.353,0.851,2.136,2.169,186,0.744,0.111,0.646,0.066,6,
2416,spider_low_1.m4v,3,1,1,336.69,339.69,0.623,3.087,0.395,2.002,350.522,370.765,0.163,0.262,0.289,0.34,1.535,3.037,1.402,1.552,186,0.729,0,0.646,0.066,7,
2417,social_high_3.mov,2,2,2,387.78,390.78,0.367,2.219,0.364,1.235,399.977,420.367,0.5,0.5,0.333,0.445,2.036,2.636,2.052,3.32,186,0.723,0.106,0.646,0.066,8,
